#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
274,Upbit,ZRX/BTC,"$3,334,180",$10709.10,0.04,%,Recently
275,Binance,FUN/BTC,"$3,288,410",$10881.60,0.04,%,Recently
276,Bitfinex,MIOTA/BTC,"$3,224,390",$10749.80,0.04,%,Recently
277,Binance,ZEC/BTC,"$3,187,540",$10773.20,0.04,%,Recently
278,Kraken,ETC/BTC,"$3,155,540",$10764.20,0.04,%,Recently
279,HitBTC,XDN/BTC,"$3,153,370",$10815.90,0.04,%,Recently
280,Huobi,HSR/BTC,"$3,147,100",$10760.80,0.04,%,Recently
281,Binance,CHAT/BTC,"$3,135,240",$10806.40,0.04,%,Recently
282,Mercado Bitcoin,BTC/BRL,"$3,125,650",$11113.20,0.04,%,Recently
283,Huobi,ELF/BTC,"$3,114,720",$10696.90,0.04,%,Recently
284,Huobi,RUFF/BTC,"$3,099,000",$10697.60,0.04,%,Recently
285,Bittrex,STRAT/BTC," $3,092,920",$10887.00,0.04,%,Recently
286,BL3P,BTC/EUR,"$3,058,550",$10878.60,0.04,%,Recently
287,WEX,ZEC/BTC,"$3,051,510",$10756.10,0.04,%,Recently
288,Bitso,BTC/MXN,"$3,002,270",$10901.70,0.04,%,Recently
289,Huobi,SNT/BTC,"$2,986,980",$10657.70,0.04,%,Recently
290,Bittrex,NXT/BTC,"$2,976,990",$10870.50,0.04,%,Recently
291,Kucoin,MEE/BTC,"$2,889,840",$10791.50,0.03,%,Recently
292,OKEx,SNC/BTC,"$2,888,920",$10756.90,0.03,%,Recently
293,Kraken,DASH/BTC,"$2,869,690",$10779.40,0.03,%,Recently
294,OKEx,ELF/BTC,"$2,850,990",$10636.10,0.03,%,Recently
295,Binance,WABI/BTC,"$2,828,370",$10694.00,0.03,%,Recently
296,Bitinka,BTC/PEN,"$2,813,120",$10679.60,0.03,%,Recently
297,Poloniex,ZEC/BTC,"$2,792,080",$10782.00,0.03,%,Recently
298,Allcoin,HSR/BTC,"$2,788,840",$10661.00,0.03,%,Recently
299,Vebitcoin,BTC/TRY,"$2,780,140",$10802.50,0.03,%,Recently
300,Huobi,WPR/BTC,"$2,778,500",$10729.70,0.03,%,Recently
301,Liqui,SRN/BTC,"$2,757,900",$10628.60,0.03,%,Recently
302,CEX.IO,BTC/EUR,"$2,757,020",$10790.80,0.03,%,Recently
303,Binance,DGD/BTC,"$2,747,770",$10783.80,0.03,%,Recently
304,Bit-Z,EOS/BTC,"$2,743,210",$10773.70,0.03,%,Recently
305,Bittrex,QTUM/BTC,"$2,736,140",$11112.50,0.03,%,Recently
306,CoinEgg,LTC/BTC,"$2,724,720",$10665.90,0.03,%,Recently
307,Bittrex,BTG/BTC,"$2,705,030",$10856.50,0.03,%,Recently
308,WEX,BTC/RUR,"$2,680,320",$10902.30,0.03,%,Recently
309,Bittrex,ZEC/BTC,"$2,671,890",$10763.20,0.03,%,Recently
310,BigONE,EKT/BTC,"$2,670,030",$11382.50,0.03,%,Recently
311,Binance,KNC/BTC,"$2,662,060",$10748.70,0.03,%,Recently
312,Binance,GAS/BTC,"$2,644,110",$10740.30,0.03,%,Recently
313,Poloniex,LSK/BTC,"$2,640,010",$10886.90,0.03,%,Recently
314,Bibox,GTO/BTC,"$2,618,360",$10622.20,0.03,%,Recently
315,Huobi,BCH/BTC,"$2,614,640",$10773.80,0.03,%,Recently
316,Bittrex,KMD/BTC,"$2,614,560",$11046.60,0.03,%,Recently
317,CoinEgg,INK/BTC,"$2,599,030",$10247.50,0.03,%,Recently
318,C2CX,BTC/USDT,"$2,595,190",$10787.00,0.03,%,Recently
319,Poloniex,BTS/BTC,"$2,592,470",$10802.00,0.03,%,Recently
320,Binance,BTS/BTC,"$2,591,720",$10814.30,0.03,%,Recently
321,Binance,BTG/BTC,"$2,589,280",$10897.00,0.03,%,Recently
322,Coinnest,BTC/KRW,"$2,582,270",$10781.90,0.03,%,Recently
323,YoBit,BCC/BTC,"$2,581,070",$10755.60,0.03,%,Recently
324,Upbit,SNT/BTC,"$2,577,570",$11032.70,0.03,%,Recently
325,LakeBTC,BTC/EUR,"$2,572,020",$11352.60,0.03,%,Recently
326,Binance,ARN/BTC,"$2,567,840",$10720.50,0.03,%,Recently
327,Bitstamp,LTC/BTC," $2,564,210",$10810.20,0.03,%,Recently
328,Bitfinex,ZEC/BTC,"$2,562,920",$10789.00,0.03,%,Recently
329,Kraken,BCH/BTC,"$2,552,460",$10788.70,0.03,%,Recently
330,Huobi,WAX/BTC,"$2,552,260",$10724.70,0.03,%,Recently
331,Poloniex,DOGE/BTC,"$2,539,430",$10866.90,0.03,%,Recently
332,WEX,BTC/EUR,"$2,529,720",$10877.80,0.03,%,Recently
333,Huobi,LET/BTC,"$2,515,550",$10719.90,0.03,%,Recently
334,Bittrex,DOGE/BTC,"$2,500,740",$10866.90,0.03,%,Recently
335,Livecoin,LTC/BTC,"$2,492,230",$10814.90,0.03,%,Recently
